T. Geddes Grant (Distributors) Limited,,,,,,,,,,,,
Container Receival Report ,,,,,,,,,,,,
"for week ending June 16, 2017  ",,,,,,,,,,,,
,,,,,,,,,,,,
PO #,PO Date,Supplier,Product Description,Qty,Size Container,Container #,Shipping Line,ETA Jamaica,ETA TGG,Actual Arrival Date - TGG,Date Offloaded,Date left compound
23153,,Kimberly Clark,Assorted Paper Products,,,,,"June 25, 2017","July 2, 2017",,,
23154,,Kimberly Clark,Assorted Paper Products,,,,,"June 25, 2017","July 2, 2017",,,
23155,,Kimberly Clark,Assorted Paper Products,,,,,"June 25, 2017","July 2, 2017",,,
23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 25, 2017","July 2, 2017",,,
23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 25, 2017","July 2, 2017",,,
23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 25, 2017","July 2, 2017",,,
23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,6 - 40,,,"June 25, 2017","July 2, 2017",,,
23248,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted Juice Products,,7 - 40,,,"June 25, 2017","July 2, 2017",,,
23248,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted Juice Products,,7 - 40,,,"June 25, 2017","July 2, 2017",,,
23035,"April 27, 2017",McVities Export Division,Assorted McVities Products,,20,,,"June 25, 2017","July 2, 2017",,,
23283,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,,,,"June 26, 2017","July 3, 2017",,,
22282,,Ziotis International Limited,Assorted Pharmaceutical Products,,40,TEMU 685767-6,CMA-CGM,"June 27, 2017","July 4, 2017",,,
22282,, , ,,20,CMAU 191608-1,, , ,,,
,,Glenmark Pharmaceuticals,Assorted Glenmark Products,1054 cases,20,HASU 110253-3,Hamburg Sud,"June 29, 2017","July 6, 2017",,,
,,,,,40,SUDU 656976-0,,,,,,
,,Chuangfan Furniture (HK) Co Ltd,Office Furniture,1148 cases,40,SUDU 868702-1,CMA-CGM,"June 29, 2017","July 6, 2017",,,
,,,,,40,HASU 412700-5,,,,,,
23351,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,,,"June 29, 2017","July 6, 2017",,,
23350,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,,,"June 29, 2017","July 6, 2017",,,
23349,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,,,"June 29, 2017","July 6, 2017",,,
23352,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,,,"June 29, 2017","July 6, 2017",,,
23102,"May 4, 2017",Dow Agrisciences Ind. Limited,Dithane 48 x 500gms,,,,,"June 29, 2017","July 6, 2017",,,
23229,,MeadJohnson Nutritionales,Assorted Alacta Plus Products,,,,,"June 30, 2017","July 7, 2017",,,
23296,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,,6 - 20,,,"July 1, 2017","July 8, 2017",,,
23284,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,,,,"July 2, 2017","July 9, 2017",,,
23263,"May 29, 2017",Guyana Stockfeeds Inc.,Angel Parboiled Rice 22kg,1100 bags,,,,"July 3, 2017","July 10, 2017",,,
