,PONUM,PODate,SUPPLIER,ProductDescription,Qty,SizeContainer,ContainerNUM,ShippingLine,ETAJamaica,ETATGG,AADTGG,DateOffloaded,Dateleft
120,23054,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
121,23055,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
122,23055,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
123,23126,"May 11, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
124,23130,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
125,23131,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,4 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
126,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,3 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
127,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
128,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
129,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
130,23134,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
131,23134,"May 11, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
132,23246,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
133,23246,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
134,23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
135,23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
136,23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,6 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
137,23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
138,23238,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted CSD Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
139,23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
140,22848,?,Riviana Foods,Assorted Blue Ribbon Products,?,20,?,?,"June 18, 2017","June 25, 2017",?,?,?
141,22575,"February 24, 2017",A. M. Capens & Company,Assorted Office Furniture,?,40,?,?,"June 18, 2017","June 25, 2017",?,?,?
142,22588,"February 28, 2017",Arcor Argentina,Assorted Arcor Products,?,40,?,?,"June 18, 2017","June 25, 2017",?,?,?
143,23141,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
144,23143,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
145,23147,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
146,23148,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
147,23149,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
148,22920,"April 6, 2017",CGA Limited,Simply Natural Coconut Oil,?,40,?,?,"June 18, 2017","June 25, 2017",?,?,?
149,23123,?,Kimberly Clark,Assorted KC Products,?,?,?,?,"June 19, 2017","June 26, 2017",?,?,?
150,23125,?,Kimberly Clark,Assorted KC Products,?,?,?,?,"June 19, 2017","June 26, 2017",?,?,?
151,23121,?,Kimberly Clark,Assorted KC Products,3086 cases,40,APHU 673354-7,CMA-CGM,"June 19, 2017","June 26, 2017",?,?,?
152,23122,?,Kimberly Clark,Assorted KC Products,3119 cases,40,CMAU 511258-5,?, , ,?,?,?
153,23124,?,Kimberly Clark,Assorted KC Products,1547 cases,40,CMAU 562151-4,?, , ,?,?,?
154,23262,"May 29, 2017",Guyana Stockfeeds Inc.,Angel Parboiled Rice 22kg,1100 bags,?,?,?,"June 21, 2017","June 28, 2017",?,?,?
155,23128,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 22, 2017","June 29, 2017",?,?,?
156,23295,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,?,6 -20,?,?,"June 24, 2017","July 1, 2017",?,?,?
157,23146,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 25, 2017","July 2, 2017",?,?,?
158,23153,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 25, 2017","July 2, 2017",?,?,?
159,23154,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 25, 2017","July 2, 2017",?,?,?
160,23155,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 25, 2017","July 2, 2017",?,?,?
161,23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
162,23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
163,23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,7 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
164,23244,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,6 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
165,23248,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted Juice Products,?,7 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
166,23248,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted Juice Products,?,7 - 40,?,?,"June 25, 2017","July 2, 2017",?,?,?
167,23035,"April 27, 2017",McVities Export Division,Assorted McVities Products,?,20,?,?,"June 25, 2017","July 2, 2017",?,?,?
168,23283,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,?,?,?,"June 26, 2017","July 3, 2017",?,?,?
